TRDTYPE,USASTATE,COMMODITY2,DISAGMOT,MEXSTATE,CANPROV,COUNTRY,VALUE,SHIPWT,FREIGHT_CHARGES,DF,CONTCODE,MONTH,YEAR
1,AK,02,5,SO,,2010,57200,0,0,1,0,01,2015
1,AK,03,3,,XC,1220,64983,3425,1274,1,X,01,2015
1,AK,03,5,,XC,1220,613578,0,14637,1,X,01,2015
1,AK,05,5,,XC,1220,8317,0,337,1,X,01,2015
1,AK,08,5,,XO,1220,105984,0,715,2,X,01,2015
1,AK,15,1,XX,,2010,161590,116280,0,1,0,01,2015
1,AK,23,5,,XC,1220,6142,0,120,1,X,01,2015
1,AK,26,1,,XC,1220,14536657,1686386,82492,1,X,01,2015
1,AK,27,5,,XC,1220,3698735,0,353005,1,X,01,2015
1,AK,27,5,,XY,1220,1678502,0,117041,1,X,01,2015
1,AK,39,5,,XO,1220,10668,0,127,1,X,01,2015
1,AK,39,5,DF,,2010,140733,0,0,2,0,01,2015
1,AK,39,5,SO,,2010,5400,0,0,1,0,01,2015
1,AK,40,3,,XQ,1220,3330,4,65,1,X,01,2015
1,AK,48,5,SO,,2010,16828,0,0,1,0,01,2015
1,AK,63,3,,XO,1220,2851,57,82,1,X,01,2015
1,AK,63,5,,XM,1220,8290,0,162,2,X,01,2015
1,AK,71,3,,XO,1220,117449,23,409,1,X,01,2015
1,AK,72,5,,XC,1220,4647,0,115,1,X,01,2015
1,AK,72,5,SO,,2010,14523,0,0,1,0,01,2015
1,AK,73,3,,XQ,1220,3806,19,97,1,X,01,2015
1,AK,73,5,,XY,1220,13856,0,370,1,X,01,2015
1,AK,73,5,SL,,2010,74311,0,0,1,0,01,2015
1,AK,76,5,,XC,1220,93836,0,786,1,X,01,2015
1,AK,76,5,MX,,2010,22320,0,0,1,0,01,2015
1,AK,82,5,MX,,2010,5725,0,0,1,0,01,2015
1,AK,84,3,,XA,1220,15861,490,1318,1,X,01,2015
1,AK,84,3,,XA,1220,4879,10,82,2,X,01,2015
1,AK,84,3,,XC,1220,14593,255,305,1,X,01,2015
1,AK,84,3,,XO,1220,7606,30,48,1,X,01,2015
1,AK,84,5,,XC,1220,9121,0,412,1,X,01,2015
1,AK,84,5,,XC,1220,10913,0,269,2,X,01,2015
1,AK,84,5,,XO,1220,163806,0,5066,1,X,01,2015
1,AK,84,5,,XQ,1220,96892,0,960,1,X,01,2015
1,AK,84,5,,XY,1220,104185,0,1750,1,X,01,2015
1,AK,84,5,,XY,1220,14136,0,420,2,X,01,2015
1,AK,84,5,MX,,2010,4850,0,0,1,0,01,2015
1,AK,84,5,SL,,2010,5942,0,0,2,0,01,2015
1,AK,84,5,TM,,2010,5352,0,0,1,0,01,2015
1,AK,85,3,,XC,1220,29258,79,611,1,X,01,2015
1,AK,85,3,,XM,1220,2751,22,52,1,X,01,2015
1,AK,85,3,,XQ,1220,2964,29,30,1,X,01,2015
1,AK,85,3,XX,,2010,3130,57,0,2,0,01,2015
1,AK,85,5,,XC,1220,21085,0,1692,1,X,01,2015
1,AK,85,5,,XO,1220,127060,0,37,1,X,01,2015
1,AK,85,5,DF,,2010,438093,0,0,2,0,01,2015
1,AK,85,5,SL,,2010,20894,0,0,1,0,01,2015
1,AK,87,3,,XQ,1220,2688,17,119,1,X,01,2015
1,AK,87,3,,XQ,1220,5778,142,136,2,X,01,2015
1,AK,87,5,,XC,1220,24391,0,466,1,X,01,2015
1,AK,87,5,,XO,1220,4532,0,89,1,X,01,2015
1,AK,87,5,,XY,1220,3736,0,95,1,X,01,2015
1,AK,87,5,,XY,1220,11126,0,179,2,X,01,2015
1,AK,87,5,SL,,2010,684358,0,0,1,0,01,2015
1,AK,87,5,SL,,2010,39675,0,0,2,0,01,2015
1,AK,87,8,,XC,1220,2925,0,23,1,X,01,2015
1,AK,88,3,,XA,1220,55112,10,545,1,X,01,2015
1,AK,88,3,,XC,1220,2861,6,12,1,X,01,2015
1,AK,88,3,,XQ,1220,78580,89,1602,1,X,01,2015
1,AK,88,3,,XQ,1220,116493,390,1230,2,X,01,2015
1,AK,88,5,,XC,1220,159896,0,937,1,X,01,2015
1,AK,88,5,,XC,1220,10084,0,197,2,X,01,2015
1,AK,88,5,,XY,1220,19169,0,338,1,X,01,2015
1,AK,89,8,,XC,1220,52618,0,374,1,X,01,2015
1,AK,90,3,,XO,1220,22016,107,97,1,X,01,2015
1,AK,90,3,,XO,1220,25536,80,189,2,X,01,2015
1,AK,90,3,XX,,2010,8840,4,0,2,0,01,2015
1,AK,90,5,,XC,1220,4762,0,36,1,X,01,2015
1,AK,90,5,,XM,1220,4607,0,164,2,X,01,2015
1,AK,90,5,DF,,2010,99765,0,0,2,0,01,2015
1,AK,97,5,,XC,1220,4955,0,97,1,X,01,2015
1,AK,98,5,,XC,1220,18115,0,638,1,X,01,2015
1,AK,98,8,,XA,1220,4850,0,119,1,X,01,2015
1,AK,98,8,,XA,1220,1763,0,14,2,X,01,2015
1,AK,98,8,,XC,1220,2948,0,30,1,X,01,2015
1,AK,98,8,,XC,1220,2351,0,22,2,X,01,2015
1,AK,98,8,,XQ,1220,3862,0,89,1,X,01,2015
1,AK,98,8,,XQ,1220,199,0,5,2,X,01,2015
1,AL,01,3,,XC,1220,5034,57,160,1,X,01,2015
1,AL,01,3,,XO,1220,3594,364,71,1,X,01,2015
1,AL,01,3,XX,,2010,650015,1593,0,1,0,01,2015
1,AL,01,5,,XO,1220,50939,0,1258,1,X,01,2015
1,AL,02,5,,XO,1220,1364517,0,28241,1,X,01,2015
1,AL,02,5,BC,,2010,19800,0,0,1,0,01,2015
1,AL,02,5,DF,,2010,518845,0,0,1,0,01,2015
1,AL,02,5,SI,,2010,1969531,0,0,1,0,01,2015
1,AL,02,5,TM,,2010,360897,0,0,1,0,01,2015
1,AL,03,5,,XO,1220,125509,0,2596,1,X,01,2015
1,AL,03,5,,XQ,1220,2709,0,37,1,X,01,2015
1,AL,04,5,,XA,1220,49820,0,1237,1,X,01,2015
1,AL,04,5,,XC,1220,259976,0,11407,1,X,01,2015
1,AL,04,5,,XM,1220,40611,0,2195,1,X,01,2015
1,AL,04,5,,XS,1220,78745,0,4274,1,X,01,2015
1,AL,04,5,CO,,2010,122120,0,0,1,0,01,2015
1,AL,04,5,DG,,2010,27994,0,0,1,0,01,2015
1,AL,05,5,,XO,1220,7657,0,506,1,X,01,2015
1,AL,05,6,,XB,1220,3552,0,345,1,X,01,2015
1,AL,05,6,,XM,1220,3505,0,119,1,X,01,2015
1,AL,05,6,,XO,1220,3580,0,122,1,X,01,2015
1,AL,07,1,XX,,2010,63750,88678,0,1,0,01,2015
1,AL,08,5,,XO,1220,69604,0,3712,2,X,01,2015
1,AL,09,5,,XC,1220,9627,0,154,1,X,01,2015
1,AL,09,5,,XO,1220,29667,0,475,1,X,01,2015
1,AL,10,1,XX,,2010,2733890,10684054,0,1,0,01,2015
1,AL,12,5,,XB,1220,77179,0,10855,1,X,01,2015
1,AL,12,5,,XO,1220,84258,0,7835,1,X,01,2015
1,AL,15,5,,XO,1220,97452,0,3915,1,X,01,2015
1,AL,15,5,DF,,2010,65007,0,0,1,0,01,2015
1,AL,15,5,MX,,2010,58368,0,0,1,0,01,2015
1,AL,15,5,NL,,2010,185954,0,0,1,0,01,2015
1,AL,16,5,,XO,1220,1356161,0,31670,1,X,01,2015
1,AL,16,5,MX,,2010,249178,0,0,1,0,01,2015
1,AL,16,5,NL,,2010,207790,0,0,1,0,01,2015
1,AL,16,5,TM,,2010,40326,0,0,1,0,01,2015
1,AL,17,1,XX,,2010,3063503,8420357,0,1,0,01,2015
1,AL,17,1,XX,,2010,445532,1423183,0,1,1,01,2015
1,AL,17,5,,XO,1220,15823,0,786,1,X,01,2015
1,AL,17,5,DF,,2010,54165,0,0,1,0,01,2015
1,AL,17,5,DG,,2010,21000,0,0,1,0,01,2015
1,AL,19,5,,XO,1220,11066,0,1039,1,X,01,2015
1,AL,20,5,,XC,1220,270083,0,12774,1,X,01,2015
1,AL,20,5,,XM,1220,113283,0,4218,1,X,01,2015
1,AL,20,5,,XO,1220,72128,0,597,1,X,01,2015
1,AL,20,5,,XQ,1220,13493,0,165,1,X,01,2015
1,AL,20,6,,XC,1220,93594,0,4456,1,X,01,2015
1,AL,21,5,,XB,1220,7513,0,1020,1,X,01,2015
1,AL,21,5,,XO,1220,44832,0,2907,1,X,01,2015
1,AL,21,5,NL,,2010,9660,0,0,1,0,01,2015
1,AL,21,5,OT,,2010,46844,0,0,1,0,01,2015
1,AL,23,5,,XO,1220,335929,0,5390,1,X,01,2015
1,AL,23,5,CH,,2010,22498,0,0,1,0,01,2015
1,AL,23,6,,XA,1220,17450,0,80,1,X,01,2015
1,AL,23,6,,XM,1220,139230,0,6630,1,X,01,2015
1,AL,23,6,,XO,1220,574113,0,11240,1,X,01,2015
1,AL,25,3,,XO,1220,6746,2324,41,2,X,01,2015
1,AL,25,5,,XO,1220,420902,0,24860,1,X,01,2015
1,AL,25,5,,XO,1220,32245,0,1016,2,X,01,2015
1,AL,25,5,,XQ,1220,23596,0,2187,1,X,01,2015
1,AL,27,5,,XA,1220,89691,0,4212,1,X,01,2015
1,AL,27,5,,XC,1220,56550,0,2061,1,X,01,2015
1,AL,27,5,,XO,1220,537289,0,19478,1,X,01,2015
1,AL,27,5,,XO,1220,18269,0,742,2,X,01,2015
1,AL,27,5,,XQ,1220,2588,0,37,2,X,01,2015
1,AL,27,5,,XS,1220,98965,0,6640,1,X,01,2015
1,AL,27,5,TM,,2010,27236,0,0,1,0,01,2015
1,AL,27,5,TM,,2010,26185,0,0,2,0,01,2015
1,AL,27,6,,XA,1220,125026,0,3712,1,X,01,2015
1,AL,27,6,,XO,1220,120540,0,11788,1,X,01,2015
1,AL,27,6,CO,,2010,1042564,0,0,1,0,01,2015
1,AL,27,6,CO,,2010,541631,0,0,1,1,01,2015
1,AL,27,6,DF,,2010,41331,0,0,1,0,01,2015
1,AL,27,6,GT,,2010,121424,0,0,1,0,01,2015
1,AL,27,6,HG,,2010,38016,0,0,1,0,01,2015
1,AL,27,6,JA,,2010,167345,0,0,1,0,01,2015
1,AL,27,6,MX,,2010,124420,0,0,1,0,01,2015
1,AL,27,6,NL,,2010,115207,0,0,1,0,01,2015
1,AL,27,6,PU,,2010,28718,0,0,1,0,01,2015
1,AL,28,1,XX,,2010,14900,20363,0,1,1,01,2015
1,AL,28,5,,XB,1220,15256,0,1204,1,X,01,2015
1,AL,28,5,,XC,1220,3652,0,155,1,X,01,2015
1,AL,28,5,,XM,1220,18624,0,2592,1,X,01,2015
1,AL,28,5,,XO,1220,571015,0,25535,1,X,01,2015
1,AL,28,5,,XQ,1220,173800,0,7424,1,X,01,2015
1,AL,28,5,MX,,2010,1001717,0,0,1,0,01,2015
1,AL,28,6,,XA,1220,26833,0,2766,1,X,01,2015
1,AL,28,6,DF,,2010,42417,0,0,1,1,01,2015
1,AL,29,1,XX,,2010,5193621,5525667,0,1,0,01,2015
1,AL,29,3,,XC,1220,2970,16,32,1,X,01,2015
1,AL,29,3,,XO,1220,10770,159,141,1,X,01,2015
1,AL,29,3,,XQ,1220,2668,49,189,1,X,01,2015
1,AL,29,3,XX,,2010,28417,2,0,1,0,01,2015
1,AL,29,5,,XC,1220,28109,0,400,1,X,01,2015
1,AL,29,5,,XM,1220,40362,0,4864,1,X,01,2015
1,AL,29,5,,XO,1220,680133,0,23774,1,X,01,2015
1,AL,29,5,,XO,1220,23126,0,2316,2,X,01,2015
1,AL,29,5,,XQ,1220,316173,0,5333,1,X,01,2015
1,AL,29,5,DF,,2010,9637,0,0,1,0,01,2015
1,AL,29,5,MX,,2010,153397,0,0,1,0,01,2015
1,AL,29,5,NL,,2010,75398,0,0,1,1,01,2015
1,AL,29,5,OT,,2010,31403,0,0,1,0,01,2015
1,AL,29,5,ZA,,2010,4139,0,0,1,0,01,2015
1,AL,29,6,,XA,1220,254048,0,4346,1,X,01,2015
1,AL,29,6,,XC,1220,139230,0,6630,1,X,01,2015
1,AL,29,6,,XM,1220,69615,0,3315,1,X,01,2015
1,AL,29,6,,XO,1220,180775,0,8608,1,X,01,2015
1,AL,29,6,,XQ,1220,1357922,0,55680,1,X,01,2015
1,AL,29,6,TL,,2010,75125,0,0,1,1,01,2015
1,AL,29,6,TM,,2010,67920,0,0,1,1,01,2015
1,AL,30,3,,XA,1220,6312,4,158,1,X,01,2015
1,AL,30,3,,XO,1220,173011,95,1403,1,X,01,2015
1,AL,30,5,DF,,2010,6600,0,0,1,0,01,2015
1,AL,31,5,,XO,1220,132267,0,5243,1,X,01,2015
1,AL,31,5,,XQ,1220,8623,0,1083,1,X,01,2015
1,AL,31,6,,XA,1220,130032,0,5125,1,X,01,2015
1,AL,31,6,,XO,1220,294378,0,13101,1,X,01,2015
1,AL,31,6,,XQ,1220,62912,0,3712,1,X,01,2015
1,AL,32,5,,XM,1220,21005,0,764,1,X,01,2015
1,AL,32,5,,XO,1220,688437,0,16495,1,X,01,2015
1,AL,32,5,CO,,2010,3892,0,0,1,0,01,2015
1,AL,32,5,DF,,2010,135946,0,0,1,0,01,2015
1,AL,32,5,SO,,2010,4588,0,0,1,0,01,2015
1,AL,32,5,TM,,2010,10356,0,0,1,0,01,2015
1,AL,32,5,TM,,2010,10724,0,0,2,0,01,2015
1,AL,33,5,,XO,1220,621704,0,15093,1,X,01,2015
1,AL,33,5,,XO,1220,96475,0,2233,2,X,01,2015
1,AL,34,5,,XO,1220,186300,0,5469,1,X,01,2015
1,AL,34,5,,XO,1220,75632,0,2944,2,X,01,2015
1,AL,34,5,,XQ,1220,9967,0,147,1,X,01,2015
1,AL,34,5,,XQ,1220,3531,0,237,2,X,01,2015
1,AL,34,5,CO,,2010,29820,0,0,1,0,01,2015
1,AL,34,5,MX,,2010,29275,0,0,1,0,01,2015
1,AL,34,5,NL,,2010,27872,0,0,1,0,01,2015
1,AL,34,5,PU,,2010,8125,0,0,1,0,01,2015
1,AL,34,5,TM,,2010,5466,0,0,1,0,01,2015
1,AL,35,5,,XM,1220,2949,0,344,1,X,01,2015
1,AL,35,5,,XO,1220,47854,0,2712,1,X,01,2015
1,AL,35,5,CO,,2010,24359,0,0,1,0,01,2015
1,AL,35,5,JA,,2010,6983,0,0,1,0,01,2015
1,AL,35,5,MX,,2010,11562,0,0,1,0,01,2015
1,AL,35,5,NL,,2010,6600,0,0,1,0,01,2015
1,AL,35,5,TM,,2010,29865,0,0,1,0,01,2015
1,AL,36,3,,XO,1220,3961,111,206,1,X,01,2015
1,AL,36,3,XX,,2010,6704,21,0,1,0,01,2015
1,AL,38,5,,XA,1220,31659,0,1484,1,X,01,2015
1,AL,38,5,,XA,1220,4536,0,131,2,X,01,2015
1,AL,38,5,,XC,1220,104024,0,4165,1,X,01,2015
1,AL,38,5,,XM,1220,203926,0,8065,1,X,01,2015
1,AL,38,5,,XM,1220,5627,0,106,2,X,01,2015
1,AL,38,5,,XO,1220,1326552,0,33818,1,X,01,2015
1,AL,38,5,,XO,1220,23854,0,1672,2,X,01,2015
1,AL,38,5,,XQ,1220,18147,0,2191,1,X,01,2015
1,AL,38,5,,XS,1220,406748,0,6745,1,X,01,2015
1,AL,38,5,CM,,2010,19900,0,0,1,0,01,2015
1,AL,38,5,CO,,2010,13945,0,0,1,0,01,2015
1,AL,38,5,DF,,2010,135821,0,0,1,0,01,2015
1,AL,38,5,DF,,2010,30744,0,0,2,0,01,2015
1,AL,38,5,GT,,2010,11388,0,0,1,0,01,2015
1,AL,38,5,JA,,2010,119382,0,0,1,0,01,2015
1,AL,38,5,MI,,2010,21761,0,0,1,0,01,2015
1,AL,38,5,MO,,2010,56013,0,0,1,0,01,2015
1,AL,38,5,MX,,2010,150386,0,0,1,0,01,2015
1,AL,38,5,NL,,2010,17955,0,0,1,0,01,2015
1,AL,38,5,PU,,2010,3480,0,0,1,0,01,2015
1,AL,38,5,TM,,2010,7214,0,0,1,0,01,2015
1,AL,38,6,,XA,1220,243833,0,1775,1,X,01,2015
1,AL,38,6,,XO,1220,125599,0,1959,1,X,01,2015
1,AL,38,6,,XQ,1220,17603,0,344,1,X,01,2015
1,AL,38,6,,XS,1220,74312,0,986,1,X,01,2015
1,AL,39,3,,XO,1220,18864,1041,618,1,X,01,2015
1,AL,39,3,,XO,1220,3455,30,160,2,X,01,2015
1,AL,39,3,,XQ,1220,24837,6147,73,1,X,01,2015
1,AL,39,3,XX,,2010,5476,17,0,2,0,01,2015
1,AL,39,5,,XA,1220,35446,0,1751,1,X,01,2015
1,AL,39,5,,XB,1220,61378,0,1859,1,X,01,2015
1,AL,39,5,,XC,1220,136495,0,8970,1,X,01,2015
1,AL,39,5,,XC,1220,2884,0,51,2,X,01,2015
1,AL,39,5,,XM,1220,284299,0,6633,1,X,01,2015
1,AL,39,5,,XO,1220,4128594,0,138317,1,X,01,2015
1,AL,39,5,,XO,1220,275955,0,5012,2,X,01,2015
1,AL,39,5,,XQ,1220,98227,0,5033,1,X,01,2015
1,AL,39,5,,XQ,1220,8676,0,169,2,X,01,2015
1,AL,39,5,,XS,1220,55851,0,230,1,X,01,2015
1,AL,39,5,,XS,1220,10439,0,412,2,X,01,2015
1,AL,39,5,AG,,2010,23000,0,0,1,0,01,2015
1,AL,39,5,BC,,2010,215578,0,0,1,0,01,2015
1,AL,39,5,CH,,2010,3982,0,0,1,0,01,2015
1,AL,39,5,CM,,2010,157379,0,0,1,0,01,2015
1,AL,39,5,CO,,2010,44513,0,0,1,0,01,2015
1,AL,39,5,CO,,2010,21000,0,0,2,0,01,2015
1,AL,39,5,DF,,2010,227904,0,0,1,0,01,2015
1,AL,39,5,DF,,2010,3024,0,0,2,0,01,2015
1,AL,39,5,DG,,2010,144157,0,0,1,0,01,2015
1,AL,39,5,DG,,2010,9200,0,0,2,0,01,2015
1,AL,39,5,GT,,2010,22235,0,0,1,0,01,2015
1,AL,39,5,GT,,2010,31152,0,0,2,0,01,2015
1,AL,39,5,JA,,2010,84007,0,0,1,0,01,2015
1,AL,39,5,MI,,2010,9340,0,0,1,0,01,2015
1,AL,39,5,MO,,2010,8957,0,0,1,0,01,2015
1,AL,39,5,MX,,2010,813781,0,0,1,0,01,2015
1,AL,39,5,MX,,2010,6924,0,0,2,0,01,2015
1,AL,39,5,NL,,2010,151949,0,0,1,0,01,2015
1,AL,39,5,NL,,2010,9458,0,0,2,0,01,2015
1,AL,39,5,OT,,2010,6645,0,0,1,0,01,2015
1,AL,39,5,PU,,2010,208647,0,0,1,0,01,2015
1,AL,39,5,QT,,2010,387720,0,0,1,0,01,2015
1,AL,39,5,QT,,2010,103393,0,0,2,0,01,2015
1,AL,39,5,SI,,2010,8158,0,0,2,0,01,2015
1,AL,39,5,SL,,2010,484627,0,0,1,0,01,2015
1,AL,39,5,TM,,2010,96460,0,0,1,0,01,2015
1,AL,39,5,TM,,2010,14007,0,0,2,0,01,2015
1,AL,39,5,ZA,,2010,24454,0,0,1,0,01,2015
1,AL,39,6,,XA,1220,96815,0,958,1,X,01,2015
1,AL,39,6,,XC,1220,9221,0,1234,1,X,01,2015
1,AL,39,6,,XO,1220,2725747,0,16866,1,X,01,2015
1,AL,39,6,,XQ,1220,1004910,0,9852,1,X,01,2015
1,AL,40,1,XX,,2010,120070,16184,0,1,0,01,2015
1,AL,40,3,,XA,1220,3106,20,307,1,X,01,2015
1,AL,40,5,,XA,1220,13348,0,620,1,X,01,2015
1,AL,40,5,,XA,1220,15627,0,288,2,X,01,2015
1,AL,40,5,,XM,1220,84561,0,5649,1,X,01,2015
1,AL,40,5,,XO,1220,1143759,0,45208,1,X,01,2015
1,AL,40,5,,XO,1220,199505,0,8913,2,X,01,2015
1,AL,40,5,,XQ,1220,5722622,0,188712,1,X,01,2015
1,AL,40,5,BC,,2010,2708,0,0,1,0,01,2015
1,AL,40,5,BS,,2010,15085,0,0,1,0,01,2015
1,AL,40,5,CO,,2010,47777,0,0,1,0,01,2015
1,AL,40,5,DF,,2010,4928,0,0,1,0,01,2015
1,AL,40,5,DF,,2010,3130,0,0,2,0,01,2015
1,AL,40,5,DG,,2010,16639,0,0,1,0,01,2015
1,AL,40,5,DG,,2010,64914,0,0,2,0,01,2015
1,AL,40,5,GT,,2010,492007,0,0,1,0,01,2015
1,AL,40,5,MX,,2010,68510,0,0,1,0,01,2015
1,AL,40,5,MX,,2010,7250,0,0,2,0,01,2015
1,AL,40,5,NL,,2010,66852,0,0,1,0,01,2015
1,AL,40,5,TM,,2010,122598,0,0,1,0,01,2015
1,AL,40,5,TM,,2010,174772,0,0,2,0,01,2015
1,AL,40,8,,XQ,1220,267426,0,10891,1,X,01,2015
1,AL,42,3,XX,,2010,10143,34,0,1,0,01,2015
1,AL,42,5,,XM,1220,3193,0,75,1,X,01,2015
1,AL,42,5,,XQ,1220,7366,0,189,1,X,01,2015
1,AL,44,1,XX,,2010,346096,384117,0,1,0,01,2015
1,AL,44,3,XX,,2010,6301,3601,0,1,0,01,2015
1,AL,44,5,,XB,1220,16784,0,704,1,X,01,2015
1,AL,44,5,,XM,1220,8577,0,155,1,X,01,2015
1,AL,44,5,,XO,1220,427801,0,27513,1,X,01,2015
1,AL,44,5,,XO,1220,4996,0,80,2,X,01,2015
1,AL,44,5,BC,,2010,5720,0,0,2,0,01,2015
1,AL,44,5,CH,,2010,18802,0,0,1,0,01,2015
1,AL,44,5,DF,,2010,50752,0,0,1,0,01,2015
1,AL,44,5,JA,,2010,31787,0,0,1,0,01,2015
1,AL,44,5,MX,,2010,112097,0,0,1,0,01,2015
1,AL,44,5,NL,,2010,22071,0,0,1,0,01,2015
1,AL,44,6,,XA,1220,9125,0,217,1,X,01,2015
1,AL,44,6,,XB,1220,28298,0,705,1,X,01,2015
1,AL,44,6,,XM,1220,118133,0,4452,1,X,01,2015
1,AL,44,6,,XO,1220,152892,0,8073,1,X,01,2015
1,AL,44,6,CO,,2010,41600,0,0,1,0,01,2015
1,AL,44,6,DG,,2010,20800,0,0,1,0,01,2015
1,AL,44,6,JA,,2010,68501,0,0,1,0,01,2015
1,AL,44,6,MX,,2010,98240,0,0,1,0,01,2015
1,AL,44,6,NL,,2010,40655,0,0,1,0,01,2015
1,AL,47,1,XX,,2010,6833276,11459675,0,1,0,01,2015
1,AL,47,5,JA,,2010,484547,0,0,1,0,01,2015
1,AL,47,5,NL,,2010,383374,0,0,1,0,01,2015
1,AL,47,6,,XB,1220,238617,0,22239,1,X,01,2015
1,AL,47,6,,XO,1220,2687635,0,107806,1,X,01,2015
1,AL,47,6,CH,,2010,1051404,0,0,1,0,01,2015
1,AL,47,6,DF,,2010,874725,0,0,1,0,01,2015
1,AL,47,6,JA,,2010,342142,0,0,1,0,01,2015
1,AL,47,6,MX,,2010,109857,0,0,1,0,01,2015
1,AL,47,6,NL,,2010,1133843,0,0,1,0,01,2015
1,AL,47,6,QT,,2010,45660,0,0,1,0,01,2015
1,AL,47,6,QT,,2010,117842,0,0,2,0,01,2015
1,AL,48,1,XX,,2010,169330,470795,0,1,0,01,2015
1,AL,48,1,XX,,2010,541507,520458,0,1,1,01,2015
1,AL,48,3,XX,,2010,2995,167,0,1,0,01,2015
1,AL,48,5,,XC,1220,25265,0,426,1,X,01,2015
1,AL,48,5,,XM,1220,281174,0,9880,1,X,01,2015
1,AL,48,5,,XM,1220,11715,0,229,2,X,01,2015
1,AL,48,5,,XO,1220,1809101,0,61443,1,X,01,2015
1,AL,48,5,,XO,1220,77529,0,1880,2,X,01,2015
1,AL,48,5,,XQ,1220,24511,0,1237,1,X,01,2015
1,AL,48,5,,XS,1220,5771,0,235,1,X,01,2015
1,AL,48,5,BC,,2010,12272,0,0,1,0,01,2015
1,AL,48,5,CH,,2010,2640,0,0,1,0,01,2015
1,AL,48,5,CO,,2010,106266,0,0,1,0,01,2015
1,AL,48,5,DF,,2010,68858,0,0,1,0,01,2015
1,AL,48,5,DG,,2010,8069,0,0,2,0,01,2015
1,AL,48,5,GT,,2010,68386,0,0,1,0,01,2015
1,AL,48,5,JA,,2010,6170,0,0,1,0,01,2015
1,AL,48,5,MI,,2010,162946,0,0,1,0,01,2015
1,AL,48,5,MX,,2010,44193,0,0,1,0,01,2015
1,AL,48,5,NL,,2010,669956,0,0,1,0,01,2015
1,AL,48,5,SL,,2010,17938,0,0,1,0,01,2015
1,AL,48,5,SO,,2010,20286,0,0,1,0,01,2015
1,AL,48,5,TM,,2010,966435,0,0,1,0,01,2015
1,AL,48,5,TM,,2010,28408,0,0,2,0,01,2015
1,AL,48,6,,XA,1220,233196,0,11098,1,X,01,2015
1,AL,48,6,,XB,1220,77049,0,6392,1,X,01,2015
1,AL,48,6,,XM,1220,596422,0,38032,1,X,01,2015
1,AL,48,6,,XO,1220,5435214,0,501289,1,X,01,2015
1,AL,48,6,,XQ,1220,57995,0,829,1,X,01,2015
1,AL,48,6,,XS,1220,82502,0,3354,1,X,01,2015
1,AL,48,6,CH,,2010,62196,0,0,1,0,01,2015
1,AL,48,6,JA,,2010,314060,0,0,1,0,01,2015
1,AL,48,6,MX,,2010,98821,0,0,1,0,01,2015
1,AL,48,6,QT,,2010,206649,0,0,1,0,01,2015
1,AL,49,3,,XO,1220,4985,27,200,1,X,01,2015
1,AL,49,5,,XA,1220,22111,0,1052,1,X,01,2015
1,AL,49,5,,XM,1220,10304,0,1296,1,X,01,2015
1,AL,49,5,,XO,1220,27966,0,1030,1,X,01,2015
1,AL,49,5,BC,,2010,3226,0,0,1,0,01,2015
1,AL,49,5,TM,,2010,5332,0,0,1,0,01,2015
1,AL,49,5,TM,,2010,3549,0,0,2,0,01,2015
1,AL,52,5,JA,,2010,4962,0,0,2,0,01,2015
1,AL,54,5,,XC,1220,14827,0,290,1,X,01,2015
1,AL,54,5,,XO,1220,2269239,0,34020,1,X,01,2015
1,AL,54,5,,XO,1220,30990,0,411,2,X,01,2015
1,AL,54,5,BC,,2010,21633,0,0,1,0,01,2015
1,AL,54,5,PU,,2010,24048,0,0,1,0,01,2015
1,AL,54,5,QR,,2010,81177,0,0,1,0,01,2015
1,AL,54,5,QT,,2010,82658,0,0,1,0,01,2015
1,AL,55,3,,XQ,1220,7729,143,148,1,X,01,2015
1,AL,55,5,,XB,1220,4722,0,340,1,X,01,2015
1,AL,55,5,,XO,1220,222376,0,6684,1,X,01,2015
1,AL,55,5,,XQ,1220,117326,0,1161,1,X,01,2015
1,AL,55,5,DF,,2010,106467,0,0,1,0,01,2015
1,AL,56,3,XX,,2010,11930,197,0,1,0,01,2015
1,AL,56,5,,XC,1220,6532,0,127,1,X,01,2015
1,AL,56,5,,XO,1220,157896,0,2742,1,X,01,2015
1,AL,56,5,BC,,2010,6154,0,0,1,0,01,2015
1,AL,56,5,MX,,2010,113906,0,0,1,0,01,2015
1,AL,56,5,PU,,2010,5906,0,0,1,0,01,2015
1,AL,56,6,,XA,1220,25111,0,412,1,X,01,2015
1,AL,56,6,,XM,1220,29233,0,520,1,X,01,2015
1,AL,57,5,,XA,1220,9535,0,352,1,X,01,2015
1,AL,57,5,,XC,1220,131713,0,2794,1,X,01,2015
1,AL,57,5,,XC,1220,9741,0,360,2,X,01,2015
1,AL,57,5,,XM,1220,35053,0,839,1,X,01,2015
1,AL,57,5,,XO,1220,952128,0,22060,1,X,01,2015
1,AL,57,5,,XO,1220,6583,0,243,2,X,01,2015
1,AL,57,6,,XA,1220,99853,0,1649,1,X,01,2015
1,AL,58,5,,XC,1220,3595,0,411,1,X,01,2015
1,AL,58,5,,XO,1220,26741,0,647,1,X,01,2015
1,AL,58,5,,XO,1220,54655,0,1048,2,X,01,2015
1,AL,58,5,,XQ,1220,13795,0,1578,2,X,01,2015
1,AL,58,5,NL,,2010,3591,0,0,1,0,01,2015
1,AL,58,5,PU,,2010,77408,0,0,1,0,01,2015
