TRDTYPE,DEPE,COMMODITY2,DISAGMOT,COUNTRY,VALUE,SHIPWT,FREIGHT_CHARGES,DF,CONTCODE,MONTH,YEAR
1,0106,29,5,1220,122054,0,7424,2,X,01,2015
1,0106,29,6,1220,189582,0,18560,1,X,01,2015
1,0106,30,5,1220,7730,0,160,2,X,01,2015
1,0106,31,5,1220,150921,0,18950,1,X,01,2015
1,0106,32,5,1220,438607,0,18208,1,X,01,2015
1,0106,32,5,1220,9266,0,422,2,X,01,2015
1,0106,33,5,1220,240672,0,4834,1,X,01,2015
1,0106,33,5,1220,6052,0,24,2,X,01,2015
1,0106,34,5,1220,146658,0,13851,1,X,01,2015
1,0106,35,5,1220,98467,0,7188,1,X,01,2015
1,0106,38,5,1220,955036,0,48327,1,X,01,2015
1,0106,38,5,1220,383336,0,7147,2,X,01,2015
1,0106,39,5,1220,2525783,0,151751,1,X,01,2015
1,0106,39,5,1220,255320,0,10541,2,X,01,2015
1,0106,40,5,1220,3497777,0,184045,1,X,01,2015
1,0106,40,5,1220,1867835,0,119156,2,X,01,2015
1,0106,41,5,1220,37792,0,2962,1,X,01,2015
1,0106,44,5,1220,1309881,0,93503,1,X,01,2015
1,0106,44,5,1220,118980,0,3153,2,X,01,2015
1,0106,47,5,1220,13527,0,1011,1,X,01,2015
1,0106,48,5,1220,1028252,0,83258,1,X,01,2015
1,0106,48,5,1220,65196,0,1571,2,X,01,2015
1,0106,49,5,1220,432824,0,6372,1,X,01,2015
1,0106,52,5,1220,42246,0,3590,1,X,01,2015
1,0106,54,5,1220,688568,0,29803,1,X,01,2015
1,0106,56,5,1220,483264,0,35856,1,X,01,2015
1,0106,57,5,1220,150122,0,2718,1,X,01,2015
1,0106,59,5,1220,45106,0,2016,1,X,01,2015
1,0106,59,5,1220,89888,0,908,2,X,01,2015
1,0106,62,5,1220,16289,0,210,1,X,01,2015
1,0106,62,5,1220,164450,0,3341,2,X,01,2015
1,0106,63,5,1220,3172,0,210,1,X,01,2015
1,0106,63,5,1220,20836,0,1013,2,X,01,2015
1,0106,64,5,1220,4844,0,193,2,X,01,2015
1,0106,65,5,1220,3919,0,76,2,X,01,2015
1,0106,68,5,1220,505895,0,20033,1,X,01,2015
1,0106,69,5,1220,15807,0,1257,1,X,01,2015
1,0106,70,5,1220,485723,0,15986,1,X,01,2015
1,0106,70,5,1220,13949,0,887,2,X,01,2015
1,0106,71,5,1220,2582,0,32,1,X,01,2015
1,0106,71,5,1220,2547,0,31,2,X,01,2015
1,0106,72,5,1220,598445,0,55197,1,X,01,2015
1,0106,72,5,1220,111875,0,4067,2,X,01,2015
1,0106,72,6,1220,632975,0,14167,1,X,01,2015
1,0106,73,5,1220,2111758,0,137311,1,X,01,2015
1,0106,73,5,1220,155996,0,15405,2,X,01,2015
1,0106,74,5,1220,17784,0,176,1,X,01,2015
1,0106,76,5,1220,807673,0,33729,1,X,01,2015
1,0106,76,5,1220,33015,0,72,2,X,01,2015
1,0106,80,5,1220,131678,0,1325,2,X,01,2015
1,0106,81,5,1220,13220,0,648,1,X,01,2015
1,0106,82,5,1220,2798,0,164,1,X,01,2015
1,0106,82,5,1220,5528,0,136,2,X,01,2015
1,0106,83,5,1220,136848,0,1638,1,X,01,2015
1,0106,84,5,1220,8820132,0,171796,1,X,01,2015
1,0106,84,5,1220,3321849,0,42676,2,X,01,2015
1,0106,85,5,1220,1294385,0,31134,1,X,01,2015
1,0106,85,5,1220,226519,0,7417,2,X,01,2015
1,0106,86,5,1220,3324,0,75,2,X,01,2015
1,0106,87,5,1220,5389612,0,120620,1,X,01,2015
1,0106,87,5,1220,1779419,0,45412,2,X,01,2015
1,0106,88,5,1220,502790,0,3863,1,X,01,2015
1,0106,89,5,1220,1234645,0,22397,1,X,01,2015
1,0106,90,5,1220,203425,0,2982,1,X,01,2015
1,0106,90,5,1220,44124,0,1347,2,X,01,2015
1,0106,93,5,1220,8138,0,338,1,X,01,2015
1,0106,94,5,1220,954112,0,41367,1,X,01,2015
1,0106,94,5,1220,158535,0,5929,2,X,01,2015
1,0106,95,5,1220,1483410,0,9138,1,X,01,2015
1,0106,95,5,1220,3043,0,155,2,X,01,2015
1,0106,96,5,1220,144187,0,3290,1,X,01,2015
1,0106,96,5,1220,61110,0,293,2,X,01,2015
1,0107,07,5,1220,39934,0,2685,1,X,01,2015
1,0107,10,5,1220,84423,0,1653,1,X,01,2015
1,0107,11,5,1220,25488,0,3961,1,X,01,2015
1,0107,20,5,1220,8854,0,206,1,X,01,2015
1,0107,28,5,1220,10206,0,1526,1,X,01,2015
1,0107,39,5,1220,50058,0,1103,1,X,01,2015
1,0107,44,5,1220,96118,0,3589,1,X,01,2015
1,0107,73,5,1220,5272,0,603,1,X,01,2015
1,0107,76,5,1220,4573,0,286,1,X,01,2015
1,0107,84,5,1220,42729,0,2241,1,X,01,2015
1,0107,84,5,1220,4854,0,529,2,X,01,2015
1,0107,85,5,1220,4021,0,88,1,X,01,2015
1,0108,10,5,1220,33111,0,726,1,X,01,2015
1,0108,11,5,1220,17344,0,974,1,X,01,2015
1,0108,28,5,1220,9537,0,243,1,X,01,2015
1,0108,32,5,1220,12670,0,444,1,X,01,2015
1,0108,38,5,1220,10040,0,236,1,X,01,2015
1,0108,44,5,1220,135206,0,10829,1,X,01,2015
1,0108,44,6,1220,375729,0,47496,1,X,01,2015
1,0108,48,5,1220,8584,0,349,1,X,01,2015
1,0108,56,5,1220,11454,0,611,1,X,01,2015
1,0108,70,5,1220,10215,0,244,1,X,01,2015
1,0108,73,5,1220,8017,0,412,1,X,01,2015
1,0108,84,5,1220,45309,0,2011,1,X,01,2015
1,0108,84,5,1220,3768,0,112,2,X,01,2015
1,0108,87,5,1220,35231,0,706,1,X,01,2015
1,0108,87,5,1220,3330,0,56,2,X,01,2015
1,0109,27,5,1220,96901,0,3790,1,X,01,2015
1,0109,28,5,1220,25054,0,1191,1,X,01,2015
1,0109,39,5,1220,19713,0,447,1,X,01,2015
1,0109,44,5,1220,31223,0,1396,1,X,01,2015
1,0109,47,5,1220,3245,0,302,1,X,01,2015
1,0109,48,5,1220,2393984,0,171173,1,X,01,2015
1,0109,48,6,1220,612222,0,4964,1,X,01,2015
1,0109,49,5,1220,131042,0,3813,1,X,01,2015
1,0109,62,5,1220,3023,0,98,2,X,01,2015
1,0109,73,5,1220,3147,0,283,2,X,01,2015
1,0109,74,5,1220,3354,0,75,1,X,01,2015
1,0109,84,5,1220,26206,0,1086,1,X,01,2015
1,0109,84,5,1220,5531,0,108,2,X,01,2015
1,0109,85,5,1220,28623,0,384,1,X,01,2015
1,0109,85,5,1220,4610,0,212,2,X,01,2015
1,0109,87,5,1220,108997,0,1828,1,X,01,2015
1,0109,88,5,1220,24423,0,412,1,X,01,2015
1,0109,97,5,1220,3310,0,72,1,X,01,2015
1,0110,01,5,1220,51863,0,1036,1,X,01,2015
1,0110,10,5,1220,15177,0,330,1,X,01,2015
